name,power,accuracy,type,damage_class,description,pokemon_names
razor-wind,80,100,normal,special,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.","absol,aerodactyl,articuno,axew,buizel,bulbasaur,butterfree,dragonite,fearow,fletchinder,fletchling,floatzel,girafarig,gligar,golbat,heliolisk,helioptile,horsea,kabutops,mew,moltres,noibat,noivern,nuzleaf,pidgeot,pidgeotto,pidgey,pidove,scizor,scyther,seedot,sewaddle,talonflame,totodile,tranquill,treecko,tropius,unfezant,venomoth,yveltal,zangoose,zapdos,zubat"
swords-dance,,,normal,status,Raises the user's Attack by two stages.,"abomasnow,absol,anorith,ariados,armaldo,axew,banette,barbaracle,bayleef,beedrill,bellsprout,bibarel,bidoof,binacle,bisharp,blaziken,bouffalant,breloom,budew,bulbasaur,bunnelby,cacnea,cacturne,carnivine,celebi,charizard,charmander,charmeleon,cherrim,cherubi,chesnaught,chespin,chikorita,chimchar,clauncher,clawitzer,cobalion,combusken,corphish,cradily,cranidos,crawdaunt,croconaw,crustle,cubone,darkrai,dewott,diggersby,diglett,dodrio,doduo,doublade,drapion,drilbur,dugtrio,dwebble,empoleon,escavalier,excadrill,exeggcute,exeggutor,feraligatr,fletchinder,fletchling,fraxure,frogadier,gabite,gallade,garchomp,gible,gligar,gliscor,gloom,goldeen,greninja,grotle,groudon,grovyle,gulpin,hawlucha,haxorus,heracross,hitmonchan,hitmonlee,honedge,hoppip,infernape,ivysaur,jumpluff,kabutops,karrablast,kingler,krabby,kricketune,leafeon,leavanny,ledian,ledyba,lickilicky,lickitung,lileep,lilligant,lombre,lotad,lucario,ludicolo,marowak,mawile,mew,mienfoo,mienshao,monferno,ninjask,nuzleaf,oddish,oshawott,pancham,pangoro,paras,parasect,patrat,pawniard,pinsir,quilladin,qwilfish,rampardos,rapidash,raticate,rayquaza,rhydon,rhyhorn,rhyperior,riolu,roselia,roserade,samurott,sandshrew,sandslash,sawsbuck,sceptile,scizor,scolipede,scrafty,scyther,seaking,seedot,serperior,seviper,shiftry,shroomish,skarmory,skiploom,skorupi,sneasel,snivy,snover,solrock,sunflora,swalot,talonflame,tangela,tangrowth,teddiursa,tentacool,tentacruel,terrakion,torchic,torterra,totodile,toxicroak,treecko,tropius,turtwig,ursaring,venusaur,victreebel,vileplume,virizion,watchog,weavile,weepinbell,yanma,yanmega,zangoose,zoroark,zorua"
cut,50,95,normal,physical,Inflicts regular damage.,"absol,aggron,aipom,ambipom,anorith,archen,archeops,armaldo,aron,axew,bagon,barbaracle,bayleef,beedrill,bellsprout,bibarel,bidoof,binacle,bisharp,blaziken,bouffalant,braixen,braviary,breloom,budew,bulbasaur,buneary,bunnelby,cacnea,cacturne,carnivine,celebi,charizard,charmander,charmeleon,chesnaught,chespin,chikorita,chimchar,clauncher,clawitzer,cobalion,combusken,corphish,crawdaunt,croconaw,crustle,cubchoo,cyndaquil,darkrai,dedenne,delphox,dewott,diggersby,diglett,doublade,dragonite,drapion,drifblim,drifloon,drilbur,druddigon,dugtrio,durant,dwebble,eelektross,emolga,empoleon,entei,escavalier,espeon,espurr,excadrill,fennekin,feraligatr,fraxure,froakie,frogadier,furret,gabite,gallade,galvantula,garchomp,gible,glameow,gligar,gliscor,gloom,greninja,grotle,groudon,grovyle,hawlucha,haxorus,heliolisk,helioptile,heracross,honedge,infernape,inkay,ivysaur,joltik,kabutops,kangaskhan,karrablast,kecleon,kingler,klefki,krabby,kricketune,krokorok,krookodile,kyurem,lairon,latias,latios,leavanny,lickilicky,lickitung,liepard,lilligant,linoone,lopunny,malamar,mandibuzz,metagross,metang,mew,monferno,nidoking,nidoqueen,nidorino,nincada,ninjask,noibat,noivern,nuzleaf,oddish,oshawott,pachirisu,pancham,pangoro,panpour,pansage,pansear,paras,parasect,patrat,pawniard,persian,petilil,phantump,pinsir,piplup,prinplup,purrloin,purugly,quilava,quilladin,raikou,rampardos,raticate,rattata,reshiram,rhydon,rhyperior,roselia,roserade,rufflet,salamence,samurott,sandile,sandshrew,sandslash,sawsbuck,sceptile,scizor,scolipede,scyther,sentret,serperior,sewaddle,shedinja,shelgon,shiftry,simipour,simisage,simisear,skarmory,skorupi,slaking,slakoth,sneasel,snivy,steelix,stunky,suicune,sunflora,swadloon,sylveon,tangela,tangrowth,teddiursa,tentacool,tentacruel,terrakion,torchic,torterra,totodile,toxicroak,treecko,trevenant,tropius,turtwig,typhlosion,tyranitar,umbreon,ursaring,venusaur,vespiquen,victreebel,vigoroth,vileplume,virizion,volcanion,vullaby,watchog,weavile,weepinbell,xerneas,yveltal,zekrom,zigzagoon,zoroark,zorua"
bind,15,85,normal,physical,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.","arbok,bellsprout,bulbasaur,carnivine,chimecho,chingling,cradily,cryogonal,dragonair,dragonite,dratini,drifblim,drifloon,dunsparce,dusclops,dusknoir,eelektrik,eelektross,ekans,frillish,gorebyss,gyarados,huntail,inkay,ivysaur,jellicent,kecleon,klang,klink,klinklang,lickilicky,lickitung,lileep,malamar,mew,milotic,octillery,omanyte,omastar,pinsir,rayquaza,serperior,seviper,shuckle,snivy,steelix,tangela,tangrowth,tentacool,tentacruel,throh,venusaur,victreebel,weepinbell"
vine-whip,45,100,grass,physical,Inflicts regular damage.,"bayleef,bellsprout,bulbasaur,carnivine,chesnaught,chespin,chikorita,floette,gogoat,ivysaur,pansage,quilladin,serperior,skiddo,snivy,tangela,tangrowth,venusaur,victreebel,weepinbell"
headbutt,70,100,normal,physical,Inflicts regular damage.  Has a 30% chance to make the target flinch.,"abomasnow,abra,absol,aerodactyl,aggron,aipom,ambipom,ampharos,anorith,arbok,arcanine,armaldo,aron,articuno,azelf,azumarill,azurill,bagon,baltoy,banette,barboach,bastiodon,bayleef,beedrill,beheeyem,beldum,bellsprout,bibarel,bidoof,blastoise,blaziken,blissey,boldore,bonsly,bouffalant,breloom,buizel,bulbasaur,buneary,butterfree,cacnea,cacturne,camerupt,castform,chansey,charizard,charmander,charmeleon,chikorita,chimchar,claydol,clefable,clefairy,cloyster,combusken,corsola,cradily,cranidos,croagunk,croconaw,cubone,cyndaquil,darkrai,darumaka,deerling,deino,delcatty,delibird,dewgong,diglett,dodrio,doduo,donphan,dragonair,dragonite,drapion,dratini,drowzee,dugtrio,dunsparce,dusclops,dusknoir,duskull,eelektrik,eelektross,eevee,ekans,electabuzz,electivire,electrike,electrode,elekid,elgyem,empoleon,entei,escavalier,espeon,exeggcute,exeggutor,exploud,fearow,feraligatr,flaaffy,flareon,floatzel,flygon,forretress,furfrou,furret,gabite,gallade,garchomp,gardevoir,gastly,gastrodon,gengar,geodude,gible,gigalith,girafarig,glaceon,glalie,glameow,gligar,gliscor,gloom,golbat,goldeen,golduck,golem,granbull,graveler,grimer,grotle,groudon,grovyle,growlithe,grumpig,gulpin,gyarados,happiny,hariyama,haunter,heracross,hippopotas,hippowdon,hitmonchan,hitmonlee,hitmontop,hoppip,horsea,houndoom,houndour,hydreigon,hypno,igglybuff,infernape,ivysaur,jigglypuff,jirachi,jolteon,jumpluff,jynx,kabuto,kabutops,kadabra,kangaskhan,karrablast,kecleon,kingdra,kingler,kirlia,koffing,krabby,kyogre,lairon,lapras,larvitar,leafeon,ledian,ledyba,lickilicky,lickitung,linoone,litleo,lombre,lopunny,lotad,loudred,lucario,ludicolo,lugia,luxio,luxray,machamp,machoke,machop,magmar,magmortar,magnemite,magneton,makuhita,mamoswine,manectric,mankey,mantine,mantyke,mareep,marill,marowak,marshtomp,mawile,medicham,meditite,mesprit,metagross,metang,mew,mewtwo,mightyena,miltank,misdreavus,mismagius,moltres,monferno,mudkip,muk,munchlax,nidoking,nidoqueen,nidorino,ninetales,nosepass,nuzleaf,oddish,omanyte,omastar,pachirisu,paras,parasect,pawniard,persian,phanpy,pichu,pidgeot,pidgeotto,pidgey,pikachu,piloswine,pineco,pinsir,piplup,plusle,politoed,poliwag,poliwhirl,poliwrath,ponyta,poochyena,porygon,primeape,prinplup,probopass,pupitar,purugly,pyroar,quagsire,quilava,qwilfish,raichu,raikou,ralts,rampardos,rapidash,raticate,rattata,rayquaza,regice,regirock,registeel,rhydon,rhyhorn,rhyperior,riolu,salamence,sandshrew,sandslash,sceptile,scizor,scrafty,scraggy,scyther,seadra,seaking,sealeo,seedot,seel,sentret,seviper,shelgon,shellder,shellos,shieldon,shiftry,shinx,shroomish,shuckle,shuppet,skiploom,skorupi,slaking,slakoth,slowbro,slowking,slowpoke,sneasel,snorlax,snorunt,snover,snubbull,spheal,spinda,spoink,squirtle,stantler,starmie,staryu,steelix,stunky,sudowoodo,suicune,swalot,swampert,swinub,tangela,tangrowth,tauros,teddiursa,tentacool,tentacruel,togekiss,togepi,togetic,torchic,torkoal,torterra,totodile,toxicroak,trapinch,treecko,tropius,turtwig,typhlosion,tyranitar,tyrogue,umbreon,ursaring,uxie,vaporeon,venomoth,venonat,venusaur,vibrava,victini,victreebel,vigoroth,vileplume,voltorb,vulpix,wailmer,wailord,wartortle,weavile,weepinbell,weezing,whiscash,whismur,wigglytuff,wooper,yanma,yanmega,zangoose,zapdos,zigzagoon,zubat,zweilous"
tackle,40,100,normal,physical,Inflicts regular damage.,"aggron,ampharos,aron,avalugg,azumarill,bastiodon,bayleef,beautifly,beldum,bergmite,bibarel,bidoof,blastoise,blissey,boldore,bonsly,bouffalant,breloom,bronzong,bronzor,buizel,bulbasaur,bunnelby,burmy,butterfree,camerupt,carbink,cascoon,castform,caterpie,chansey,cherrim,cherubi,chesnaught,chespin,chikorita,chimchar,chimecho,chingling,clefable,clefairy,cloyster,corsola,cranidos,cyndaquil,darumaka,dedenne,deerling,deino,delcatty,dewott,diancie,diggersby,donphan,doublade,dragalge,dustox,eevee,electrike,electrode,emboar,empoleon,espeon,feebas,ferroseed,flaaffy,flareon,fletchinder,fletchling,floatzel,floette,forretress,furfrou,gabite,garchomp,gastrodon,geodude,gible,gigalith,girafarig,glaceon,glameow,gogoat,golem,goodra,goomy,granbull,graveler,grotle,gyarados,happiny,hariyama,hawlucha,heracross,hippopotas,hippowdon,hitmonchan,hitmonlee,hitmontop,honedge,hoothoot,hoppip,hydreigon,illumise,infernape,inkay,ivysaur,jolteon,jumpluff,klefki,koffing,kricketot,kricketune,lairon,larvitar,leafeon,leavanny,ledian,ledyba,lickilicky,lickitung,lillipup,linoone,litleo,lunatone,luvdisc,luxio,luxray,machamp,machoke,machop,magikarp,magmar,magmortar,magnemite,magneton,magnezone,makuhita,malamar,mamoswine,manectric,mantine,mantyke,mareep,marill,marshtomp,metagross,metang,mightyena,milotic,miltank,monferno,mothim,mudkip,munchlax,nidoking,nidoqueen,nidorino,ninetales,noctowl,noibat,noivern,nosepass,nuzleaf,oshawott,pancham,pangoro,patrat,phanpy,phantump,pidgeot,pidgeotto,pidgey,pignite,piloswine,pineco,piplup,ponyta,poochyena,porygon,porygon-z,porygon2,prinplup,probopass,pupitar,purugly,pyroar,quilava,quilladin,qwilfish,rampardos,rapidash,raticate,rattata,rhydon,rhyhorn,rhyperior,samurott,sawsbuck,scatterbug,seedot,sentret,serperior,sewaddle,shellder,shellos,shieldon,shiftry,shinx,shroomish,silcoon,skiddo,skiploom,skrelp,sliggoo,slowbro,slowking,slowpoke,slurpuff,snivy,snorlax,snubbull,solrock,spinda,squirtle,stantler,staraptor,staravia,starly,starmie,staryu,steelix,stoutland,stunfisk,stunky,sudowoodo,sunflora,swadloon,swampert,swinub,swirlix,sylveon,talonflame,tauros,teddiursa,tepig,togekiss,togepi,togetic,torterra,trevenant,turtwig,tynamo,typhlosion,tyranitar,tyrantrum,tyrogue,tyrunt,umbreon,ursaring,vaporeon,venomoth,venonat,venusaur,volbeat,voltorb,vulpix,wartortle,watchog,weezing,wurmple,xerneas,yanma,yanmega,zigzagoon,zweilous"
body-slam,85,100,normal,physical,Inflicts regular damage.  Has a 30% chance to paralyze the target.,"abomasnow,abra,absol,accelgor,aggron,aipom,alomomola,altaria,amaura,amoonguss,ampharos,anorith,arbok,arcanine,ariados,armaldo,aron,audino,aurorus,avalugg,azumarill,azurill,bagon,banette,bastiodon,bayleef,bergmite,blastoise,blaziken,blissey,bonsly,bouffalant,braviary,breloom,bronzong,bronzor,bulbasaur,cacnea,cacturne,camerupt,carbink,carracosta,castform,chansey,charizard,charmander,charmeleon,chesnaught,chespin,chikorita,clamperl,clawitzer,clefable,clefairy,cloyster,cobalion,combusken,conkeldurr,corphish,corsola,cradily,cranidos,crawdaunt,croconaw,cryogonal,cubchoo,cubone,cyndaquil,deerling,deino,delcatty,delibird,dewgong,diancie,diggersby,diglett,dodrio,doduo,donphan,dragonair,dragonite,dratini,drifblim,drifloon,drowzee,druddigon,dugtrio,dunsparce,dusclops,dusknoir,duskull,eelektrik,eelektross,eevee,ekans,electabuzz,electivire,electrike,elekid,emboar,empoleon,entei,espeon,excadrill,exeggutor,exploud,feraligatr,flaaffy,flareon,floatzel,flygon,foongus,forretress,furret,gabite,gallade,garbodor,garchomp,gardevoir,gastrodon,gengar,geodude,gible,girafarig,glaceon,glalie,gogoat,goldeen,golduck,golem,golett,golurk,goodra,goomy,gorebyss,gothitelle,granbull,graveler,grimer,grotle,groudon,grovyle,growlithe,grumpig,gulpin,gyarados,hariyama,hawlucha,haxorus,heracross,hippopotas,hippowdon,hitmonchan,hitmonlee,hitmontop,ho-oh,houndoom,houndour,huntail,hydreigon,hypno,igglybuff,illumise,infernape,ivysaur,jigglypuff,jirachi,jolteon,jynx,kabuto,kabutops,kadabra,kangaskhan,kecleon,kingdra,kingler,kirlia,koffing,krabby,krokorok,krookodile,kyogre,kyurem,lairon,lapras,larvitar,latias,latios,leafeon,lickilicky,lickitung,lileep,linoone,litleo,lombre,lotad,loudred,lucario,ludicolo,lugia,lunatone,luxray,machamp,machoke,machop,magcargo,magmar,magmortar,magnezone,makuhita,mamoswine,manectric,mankey,mantine,mareep,marill,marowak,marshtomp,mawile,medicham,meditite,metagross,metang,mew,mewtwo,mightyena,milotic,miltank,mudkip,muk,munchlax,nidoking,nidoqueen,nidorino,ninetales,noctowl,noivern,nosepass,nuzleaf,omanyte,omastar,pancham,pangoro,paras,parasect,pelipper,persian,phanpy,pichu,pignite,pikachu,piloswine,pineco,pinsir,plusle,politoed,poliwag,poliwhirl,poliwrath,ponyta,poochyena,primeape,probopass,pupitar,purugly,pyroar,quagsire,quilava,quilladin,raichu,raikou,ralts,rampardos,rapidash,raticate,rattata,rayquaza,regice,regirock,registeel,reshiram,reuniclus,rhydon,rhyhorn,rhyperior,roselia,roserade,rufflet,salamence,samurott,sandile,sandshrew,sandslash,sawsbuck,sceptile,scrafty,seaking,sealeo,seedot,seel,sentret,serperior,seviper,shelgon,shellos,shelmet,shieldon,shiftry,shroomish,shuckle,shuppet,skiddo,slaking,slakoth,sliggoo,slowbro,slowking,slowpoke,slugma,smoochum,snorlax,snorunt,snover,snubbull,solrock,spheal,spinarak,spinda,spiritomb,spoink,squirtle,stantler,steelix,stunky,sudowoodo,suicune,swablu,swalot,swampert,swinub,sylveon,tangela,tangrowth,tauros,teddiursa,tepig,terrakion,throh,tirtouga,togekiss,togepi,togetic,torchic,torkoal,torterra,totodile,trapinch,treecko,tropius,turtwig,typhlosion,tyranitar,tyrantrum,tyrogue,tyrunt,umbreon,ursaring,vaporeon,venusaur,vibrava,victreebel,vigoroth,vileplume,virizion,volbeat,volcanion,volcarona,vulpix,wailmer,wailord,wartortle,weepinbell,weezing,whiscash,whismur,wigglytuff,wooper,xerneas,yveltal,zangoose,zebstrika,zekrom,zigzagoon,zoroark,zweilous"
take-down,90,85,normal,physical,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,"abomasnow,abra,aerodactyl,aggron,aipom,alomomola,altaria,amaura,ambipom,ampharos,arbok,arcanine,aron,articuno,audino,aurorus,avalugg,axew,azumarill,azurill,bagon,barboach,bastiodon,bayleef,beedrill,beldum,bellsprout,bergmite,bibarel,bidoof,bisharp,blastoise,blaziken,blissey,bonsly,braixen,braviary,breloom,bronzong,bronzor,buizel,bulbasaur,bunnelby,butterfree,cacnea,cacturne,camerupt,carbink,carvanha,chansey,charizard,charmander,charmeleon,cherrim,cherubi,chesnaught,chespin,chikorita,chimchar,chimecho,chinchou,cinccino,clauncher,clawitzer,clefable,clefairy,cloyster,cobalion,combusken,conkeldurr,corphish,cranidos,crawdaunt,croagunk,croconaw,cryogonal,cubchoo,cubone,cyndaquil,darumaka,dedenne,deerling,deino,delibird,delphox,dewgong,dewott,diancie,diggersby,diglett,dodrio,doduo,donphan,dragalge,dragonair,dragonite,dratini,drilbur,drowzee,dugtrio,dunsparce,eelektrik,eelektross,eevee,ekans,electabuzz,electivire,electrode,elekid,emboar,empoleon,entei,escavalier,espeon,excadrill,exeggcute,exeggutor,fearow,fennekin,feraligatr,finneon,flaaffy,flareon,fletchinder,fletchling,floatzel,flygon,forretress,fraxure,froakie,frogadier,furfrou,furret,gabite,gallade,garbodor,garchomp,gastrodon,gengar,geodude,gible,girafarig,glaceon,glalie,gligar,gliscor,gloom,gogoat,golbat,goldeen,golduck,golem,golett,golurk,goodra,goomy,granbull,graveler,greninja,grimer,grotle,groudon,grovyle,growlithe,grumpig,gulpin,gurdurr,gyarados,happiny,hariyama,hawlucha,haxorus,heracross,hippopotas,hippowdon,hitmonchan,hitmonlee,hitmontop,ho-oh,honchkrow,hoothoot,hoppip,horsea,houndoom,houndour,hydreigon,hypno,igglybuff,illumise,infernape,ivysaur,jigglypuff,jolteon,jumpluff,jynx,kabuto,kabutops,kadabra,kangaskhan,karrablast,kingdra,kingler,koffing,krabby,kricketune,krokorok,krookodile,kyogre,kyurem,lairon,lanturn,lapras,larvitar,latias,latios,leafeon,leavanny,lickitung,lillipup,linoone,litleo,lombre,lotad,lucario,ludicolo,lugia,lumineon,luvdisc,luxio,luxray,machamp,machoke,machop,magcargo,magmar,magmortar,magnemite,magneton,magnezone,makuhita,mamoswine,mandibuzz,mankey,mantine,mantyke,mareep,marill,marowak,marshtomp,masquerain,medicham,meditite,metagross,metang,mew,mewtwo,mienfoo,mienshao,mightyena,milotic,minccino,moltres,monferno,mudkip,muk,munchlax,murkrow,nidoking,nidoqueen,nidorino,ninetales,noctowl,noibat,noivern,nosepass,nuzleaf,oddish,omanyte,omastar,oshawott,pachirisu,paras,parasect,pawniard,pelipper,persian,phanpy,pichu,pidgeot,pidgeotto,pidgey,pignite,pikachu,piloswine,pineco,pinsir,politoed,poliwag,poliwhirl,poliwrath,ponyta,poochyena,porygon,porygon-z,porygon2,primeape,prinplup,probopass,pupitar,pyroar,quagsire,quilava,quilladin,qwilfish,raichu,raikou,rampardos,rapidash,raticate,rattata,rayquaza,regirock,registeel,reshiram,rhydon,rhyhorn,rhyperior,riolu,rufflet,salamence,samurott,sandile,sandshrew,sandslash,sawsbuck,sceptile,scizor,scolipede,scrafty,scraggy,scyther,seadra,seaking,seedot,seel,sentret,serperior,seviper,sewaddle,sharpedo,shelgon,shellder,shellos,shieldon,shiftry,shinx,shroomish,skarmory,skiddo,skiploom,skrelp,slaking,slakoth,sliggoo,slowbro,slowking,slowpoke,slugma,sneasel,snivy,snorlax,snorunt,snover,snubbull,spoink,squirtle,stantler,staraptor,staravia,starly,starmie,staryu,stoutland,stunky,sudowoodo,suicune,sunflora,surskit,swablu,swadloon,swalot,swampert,swinub,sylveon,talonflame,tangela,tauros,teddiursa,tentacool,tentacruel,tepig,terrakion,torchic,torkoal,torterra,totodile,toxicroak,trapinch,treecko,trevenant,tropius,trubbish,turtwig,typhlosion,tyranitar,tyrogue,umbreon,ursaring,vaporeon,venipede,venomoth,venonat,venusaur,vespiquen,vibrava,victreebel,vigoroth,vileplume,virizion,volbeat,volcanion,volcarona,voltorb,vullaby,vulpix,wartortle,weavile,weepinbell,weezing,whirlipede,whiscash,whismur,wigglytuff,wingull,wooper,xerneas,yanma,yanmega,zangoose,zapdos,zebstrika,zekrom,zigzagoon,zoroark,zorua,zubat,zweilous"
double-edge,120,100,normal,physical,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,"abomasnow,abra,absol,aerodactyl,aggron,aipom,altaria,ambipom,ampharos,anorith,arbok,arcanine,ariados,armaldo,aron,articuno,audino,avalugg,axew,azelf,azumarill,azurill,bagon,baltoy,banette,barboach,bastiodon,bayleef,beautifly,beedrill,bellsprout,bergmite,bibarel,bidoof,blastoise,blaziken,blissey,bonsly,braviary,breloom,bulbasaur,buneary,butterfree,cacnea,cacturne,camerupt,carbink,carvanha,castform,celebi,chansey,charizard,charmander,charmeleon,cherrim,cherubi,chesnaught,chikorita,chimchar,chimecho,chinchou,chingling,cinccino,clamperl,claydol,clefable,clefairy,cloyster,cobalion,combusken,conkeldurr,corphish,corsola,cradily,cranidos,crawdaunt,crobat,croconaw,cubone,cyndaquil,deerling,delcatty,delibird,dewgong,diglett,dodrio,doduo,donphan,dragonair,dragonite,dratini,drilbur,drowzee,ducklett,dugtrio,dunsparce,dusclops,duskull,dustox,eevee,ekans,electabuzz,electivire,electrike,electrode,elekid,emboar,empoleon,entei,escavalier,espeon,excadrill,exeggcute,exeggutor,exploud,fearow,feebas,feraligatr,flaaffy,flareon,fletchinder,fletchling,floatzel,flygon,forretress,fraxure,furret,gabite,garchomp,gardevoir,gengar,geodude,gible,girafarig,glaceon,glalie,glameow,gligar,gliscor,gloom,gogoat,golbat,goldeen,golduck,golem,golett,golurk,gorebyss,granbull,graveler,grotle,groudon,grovyle,growlithe,grumpig,gulpin,gurdurr,gyarados,happiny,hariyama,haxorus,heracross,hippopotas,hippowdon,hitmonchan,hitmonlee,hitmontop,ho-oh,honchkrow,hoothoot,hoppip,horsea,houndoom,houndour,huntail,hypno,igglybuff,illumise,infernape,ivysaur,jigglypuff,jirachi,jolteon,jumpluff,jynx,kabuto,kabutops,kadabra,kangaskhan,karrablast,kecleon,kingdra,kingler,kirlia,krabby,krokorok,krookodile,kyogre,lairon,lanturn,lapras,larvitar,latias,latios,leafeon,ledian,ledyba,lickilicky,lickitung,lileep,linoone,litleo,lombre,lopunny,lotad,loudred,ludicolo,lugia,lunatone,luvdisc,luxio,luxray,machamp,machoke,machop,magcargo,magmar,magmortar,magnemite,magneton,magnezone,makuhita,mamoswine,mandibuzz,manectric,mankey,mantine,mantyke,mareep,marill,marowak,marshtomp,masquerain,mawile,medicham,meditite,mesprit,metagross,metang,mew,mewtwo,mienshao,mightyena,milotic,miltank,misdreavus,moltres,monferno,mudkip,munchlax,murkrow,nidoking,nidoqueen,nidorino,nincada,ninetales,ninjask,noctowl,noivern,nosepass,nuzleaf,octillery,oddish,omanyte,omastar,paras,parasect,pelipper,persian,phanpy,pichu,pidgeot,pidgeotto,pidgey,pignite,pikachu,piloswine,pineco,pinsir,piplup,plusle,politoed,poliwag,poliwhirl,poliwrath,ponyta,poochyena,porygon,porygon-z,porygon2,primeape,prinplup,probopass,pupitar,purugly,pyroar,quagsire,quilava,qwilfish,raichu,raikou,ralts,rampardos,rapidash,raticate,rattata,rayquaza,regice,regirock,registeel,remoraid,reshiram,rhydon,rhyhorn,rhyperior,roselia,rufflet,salamence,sandile,sandshrew,sandslash,sawsbuck,sceptile,scizor,scolipede,scrafty,scraggy,scyther,seadra,seaking,sealeo,seedot,seel,sentret,serperior,seviper,sharpedo,shedinja,shelgon,shellder,shelmet,shieldon,shiftry,shinx,shroomish,shuckle,shuppet,skarmory,skiddo,skiploom,slaking,slakoth,slowbro,slowking,slowpoke,slugma,smoochum,sneasel,snivy,snorlax,snorunt,snover,snubbull,solrock,spheal,spinarak,spinda,spoink,squirtle,stantler,staraptor,staravia,starly,starmie,staryu,steelix,stunky,sudowoodo,suicune,sunflora,surskit,swablu,swalot,swampert,swanna,swellow,swinub,sylveon,taillow,talonflame,tangela,tauros,teddiursa,tentacool,tentacruel,tepig,terrakion,togekiss,togepi,togetic,torchic,torkoal,torterra,totodile,trapinch,treecko,tropius,turtwig,typhlosion,tyranitar,tyrogue,umbreon,ursaring,vaporeon,venipede,venomoth,venonat,venusaur,vibrava,victini,victreebel,vigoroth,vileplume,virizion,volbeat,volcanion,volcarona,voltorb,vullaby,vulpix,wailmer,wailord,wartortle,weepinbell,whirlipede,whiscash,whismur,wigglytuff,wingull,wooper,xatu,yanma,yanmega,zangoose,zapdos,zebstrika,zekrom,zigzagoon,zubat"
